GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
0400000US09,09,Connecticut,45972,1160
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",-,**
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",79219,55272
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",44340,2727
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",-,**
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",65323,13909
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",-,**
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",-,**
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",95330,11176
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",49911,26849
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",-,**
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",65353,41333
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",-,**
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",-,**
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",51954,6839
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",-,**
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",-,**
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",-,**
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",-,**
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",46896,6012
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",54912,14149
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",118028,41025
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",-,**
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",-,**
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",134167,113417
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",-,**
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",-,**
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",68254,7120
0600000US0900308490,0900308490,"Bristol town, Hartford County, Connecticut",36238,6008
0600000US0900310100,0900310100,"Burlington town, Hartford County, Connecticut",-,**
0600000US0900312270,0900312270,"Canton town, Hartford County, Connecticut",-,**
0600000US0900322070,0900322070,"East Granby town, Hartford County, Connecticut",-,**
0600000US0900322630,0900322630,"East Hartford town, Hartford County, Connecticut",55527,7489
0600000US0900324800,0900324800,"East Windsor town, Hartford County, Connecticut",83304,30356
0600000US0900325990,0900325990,"Enfield town, Hartford County, Connecticut",70660,10363
0600000US0900327600,0900327600,"Farmington town, Hartford County, Connecticut",-,**
0600000US0900331240,0900331240,"Glastonbury town, Hartford County, Connecticut",-,**
0600000US0900332640,0900332640,"Granby town, Hartford County, Connecticut",-,**
0600000US0900337070,0900337070,"Hartford town, Hartford County, Connecticut",35765,1729
0600000US0900337140,0900337140,"Hartland town, Hartford County, Connecticut",-,**
